"","start_time","flow_type","volume","segment_area_id","segment_name","state","city","functional_classification","descriptions","facility_types","lat","long","year","month"
"24",2020-12-01,"bike",55,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Dec"
"25",2021-01-01,"bike",51,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Jan"
"26",2021-02-01,"bike",35,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Feb"
"27",2021-03-01,"bike",73,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Mar"
"28",2021-04-01,"bike",100,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Apr"
"29",2021-05-01,"bike",99,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"May"
"30",2021-06-01,"bike",93,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Jun"
"31",2021-07-01,"bike",82,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Jul"
"32",2021-08-01,"bike",77,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Aug"
"33",2021-09-01,"bike",90,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Sep"
"34",2021-10-01,"bike",76,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Oct"
"35",2021-11-01,"bike",52,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Nov"
"36",2021-12-01,"bike",46,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2021,"Dec"
"37",2022-01-01,"bike",19,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Jan"
"38",2022-02-01,"bike",38,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Feb"
"39",2022-03-01,"bike",55,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Mar"
"40",2022-04-01,"bike",62,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Apr"
"41",2022-05-01,"bike",49,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"May"
"42",2022-06-01,"bike",63,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Jun"
"43",2022-07-01,"bike",59,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Jul"
"44",2022-08-01,"bike",68,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Aug"
"45",2022-09-01,"bike",72,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Sep"
"46",2022-10-01,"bike",57,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Oct"
"47",2022-11-01,"bike",46,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Nov"
"48",2022-12-01,"bike",27,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2022,"Dec"
"49",2023-01-01,"bike",36,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Jan"
"50",2023-02-01,"bike",19,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Feb"
"51",2023-03-01,"bike",20,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Mar"
"52",2023-04-01,"bike",58,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Apr"
"53",2023-05-01,"bike",69,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"May"
"54",2023-06-01,"bike",58,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Jun"
"55",2023-07-01,"bike",55,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Jul"
"56",2023-08-01,"bike",59,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Aug"
"57",2023-09-01,"bike",53,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Sep"
"58",2023-10-01,"bike",57,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Oct"
"59",2023-11-01,"bike",37,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Nov"
"60",2023-12-01,"bike",24,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2023,"Dec"
"61",2024-01-01,"bike",21,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2024,"Jan"
"62",2024-02-01,"bike",31,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2024,"Feb"
"63",2024-03-01,"bike",40,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2024,"Mar"
"64",2024-04-01,"bike",53,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2024,"Apr"
"65",2024-05-01,"bike",53,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2024,"May"
"66",2020-02-01,"mixed",226,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Feb"
"67",2020-03-01,"mixed",345,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Mar"
"68",2020-04-01,"mixed",160,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Apr"
"69",2020-05-01,"mixed",273,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"May"
"70",2020-06-01,"mixed",287,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Jun"
"71",2020-07-01,"mixed",414,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Jul"
"72",2020-08-01,"mixed",254,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Aug"
"73",2020-09-01,"mixed",287,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Sep"
"74",2020-10-01,"mixed",247,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Oct"
"75",2020-11-01,"mixed",211,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Nov"
"76",2020-12-01,"mixed",140,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2020,"Dec"
"77",2021-01-01,"mixed",139,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Jan"
"78",2021-02-01,"mixed",135,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Feb"
"79",2021-03-01,"mixed",257,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Mar"
"80",2021-04-01,"mixed",326,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Apr"
"81",2021-05-01,"mixed",305,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"May"
"82",2021-06-01,"mixed",276,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Jun"
"83",2021-07-01,"mixed",305,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Jul"
"84",2021-08-01,"mixed",265,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Aug"
"85",2021-09-01,"mixed",320,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Sep"
"86",2021-10-01,"mixed",271,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Oct"
"87",2021-11-01,"mixed",179,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Nov"
"88",2021-12-01,"mixed",150,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2021,"Dec"
"89",2022-01-01,"mixed",111,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2022,"Jan"
"90",2022-02-01,"mixed",190,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2022,"Feb"
"91",2022-03-01,"mixed",368,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2022,"Mar"
"92",2022-04-01,"mixed",268,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2022,"Apr"
"93",2022-05-01,"mixed",221,38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail",38.8456395987114,-77.0960828661918,2022,"May"
